Day,Number of Bicycle Hires
09/02/2014,11657
08/02/2014,10928
07/02/2014,19857
06/02/2014,25395
05/02/2014,29418
04/02/2014,21217
03/02/2014,20370
02/02/2014,15924
01/02/2014,13981
31/01/2014,13859
30/01/2014,17052
29/01/2014,10585
28/01/2014,19939
27/01/2014,18285
26/01/2014,7033
25/01/2014,14581
24/01/2014,19272
23/01/2014,20020
22/01/2014,21072
21/01/2014,21756
20/01/2014,21218
19/01/2014,16083
18/01/2014,15333
17/01/2014,17434
16/01/2014,18861
15/01/2014,19243
14/01/2014,20740
13/01/2014,17721
12/01/2014,11975
11/01/2014,15723
10/01/2014,18840
09/01/2014,19143
08/01/2014,19770
07/01/2014,17420
06/01/2014,13066
05/01/2014,9145
04/01/2014,6918
03/01/2014,11636
02/01/2014,15820
01/01/2014,4327
31/12/2013,7701
30/12/2013,8413
29/12/2013,10983
28/12/2013,10533
27/12/2013,7258
26/12/2013,7666
25/12/2013,27715
24/12/2013,6201
23/12/2013,6246
22/12/2013,9233
21/12/2013,5774
20/12/2013,18046
19/12/2013,17738
18/12/2013,17311
17/12/2013,15689
16/12/2013,13825
15/12/2013,8557
14/12/2013,14049
13/12/2013,16921
12/12/2013,19420
11/12/2013,19123
10/12/2013,20432
09/12/2013,19969
08/12/2013,13076
07/12/2013,13625
06/12/2013,18494
05/12/2013,18326
04/12/2013,20035
03/12/2013,20242
02/12/2013,19630
01/12/2013,11711
30/11/2013,13323
29/11/2013,19397
28/11/2013,20649
27/11/2013,20274
26/11/2013,20486
25/11/2013,19201
24/11/2013,10505
23/11/2013,13276
22/11/2013,18789
21/11/2013,18668
20/11/2013,14115
19/11/2013,20335
18/11/2013,18491
17/11/2013,12340
16/11/2013,15029
15/11/2013,20850
14/11/2013,21061
13/11/2013,22021
12/11/2013,19572
11/11/2013,14377
10/11/2013,9767
09/11/2013,6772
08/11/2013,15188
07/11/2013,22527
06/11/2013,18431
05/11/2013,19326
04/11/2013,20369
03/11/2013,13063
02/11/2013,15347
01/11/2013,20597
31/10/2013,20055
30/10/2013,24753
29/10/2013,23126
28/10/2013,14577
27/10/2013,15652
26/10/2013,16986
25/10/2013,23677
24/10/2013,26399
23/10/2013,24178
22/10/2013,22316
21/10/2013,21385
20/10/2013,11396
19/10/2013,17430
18/10/2013,24880
17/10/2013,25170
16/10/2013,20562
15/10/2013,24657
14/10/2013,18979
13/10/2013,7068
12/10/2013,17068
11/10/2013,15640
10/10/2013,23497
09/10/2013,26433
08/10/2013,27598
07/10/2013,26680
06/10/2013,25143
05/10/2013,22996
04/10/2013,26522
03/10/2013,25153
02/10/2013,26467
01/10/2013,27711
30/09/2013,27089
29/09/2013,20654
28/09/2013,21716
27/09/2013,27371
26/09/2013,28857
25/09/2013,28183
24/09/2013,28666
23/09/2013,26625
22/09/2013,22683
21/09/2013,21988
20/09/2013,26196
19/09/2013,18746
18/09/2013,25319
17/09/2013,18428
16/09/2013,21892
15/09/2013,4826
14/09/2013,12977
13/09/2013,15392
12/09/2013,24246
11/09/2013,23386
10/09/2013,24558
09/09/2013,17943
08/09/2013,18046
07/09/2013,21279
06/09/2013,20930
05/09/2013,33574
04/09/2013,33406
03/09/2013,31600
02/09/2013,31292
01/09/2013,23856
31/08/2013,29718
30/08/2013,31127
29/08/2013,31639
28/08/2013,32024
27/08/2013,29563
26/08/2013,27802
25/08/2013,21638
24/08/2013,7341
23/08/2013,30665
22/08/2013,22363
21/08/2013,33214
20/08/2013,33578
19/08/2013,31183
18/08/2013,26910
17/08/2013,23931
16/08/2013,25555
15/08/2013,30865
14/08/2013,31412
13/08/2013,30933
12/08/2013,30425
11/08/2013,29530
10/08/2013,28830
09/08/2013,28206
08/08/2013,33737
07/08/2013,33084
06/08/2013,33631
05/08/2013,23864
04/08/2013,32580
03/08/2013,34928
02/08/2013,29109
01/08/2013,34770
31/07/2013,28976
30/07/2013,22742
29/07/2013,30415
28/07/2013,28177
27/07/2013,25761
26/07/2013,34681
25/07/2013,33683
24/07/2013,34038
23/07/2013,31624
22/07/2013,33176
21/07/2013,30075
20/07/2013,28332
19/07/2013,35196
18/07/2013,35330
17/07/2013,35203
16/07/2013,35580
15/07/2013,34419
14/07/2013,32169
13/07/2013,33509
12/07/2013,33173
11/07/2013,33792
10/07/2013,33629
09/07/2013,35519
08/07/2013,34263
07/07/2013,31363
06/07/2013,34191
05/07/2013,34704
04/07/2013,32941
03/07/2013,30780
02/07/2013,30163
01/07/2013,31151
30/06/2013,31237
29/06/2013,29054
28/06/2013,22074
27/06/2013,27306
26/06/2013,31156
25/06/2013,31889
24/06/2013,27636
23/06/2013,19006
22/06/2013,19483
21/06/2013,28844
20/06/2013,29959
19/06/2013,31899
18/06/2013,30871
17/06/2013,28611
16/06/2013,19970
15/06/2013,16020
14/06/2013,28797
13/06/2013,26388
12/06/2013,24401
11/06/2013,26601
10/06/2013,27336
09/06/2013,19429
08/06/2013,27264
07/06/2013,28762
06/06/2013,32829
05/06/2013,32488
04/06/2013,32397
03/06/2013,29940
02/06/2013,27202
01/06/2013,24782
31/05/2013,29136
30/05/2013,22150
29/05/2013,21440
28/05/2013,14556
27/05/2013,25819
26/05/2013,27251
25/05/2013,21087
24/05/2013,12891
23/05/2013,24701
22/05/2013,26967
21/05/2013,27649
20/05/2013,25914
19/05/2013,23994
18/05/2013,22272
17/05/2013,24932
16/05/2013,26070
15/05/2013,24015
14/05/2013,18054
13/05/2013,24836
12/05/2013,15918
11/05/2013,16627
10/05/2013,26399
09/05/2013,24250
08/05/2013,26032
07/05/2013,30707
06/05/2013,29015
05/05/2013,24342
04/05/2013,19156
03/05/2013,31340
02/05/2013,31239
01/05/2013,31175
30/04/2013,29219
29/04/2013,27644
28/04/2013,19139
27/04/2013,17337
26/04/2013,23125
25/04/2013,32000
24/04/2013,30193
23/04/2013,31359
22/04/2013,25384
21/04/2013,22466
20/04/2013,26724
19/04/2013,24297
18/04/2013,23979
17/04/2013,25730
16/04/2013,26060
15/04/2013,24923
14/04/2013,25074
13/04/2013,11291
12/04/2013,15100
11/04/2013,19240
10/04/2013,22233
09/04/2013,17555
08/04/2013,21797
07/04/2013,18090
06/04/2013,18216
05/04/2013,18059
04/04/2013,15626
03/04/2013,17801
02/04/2013,19148
01/04/2013,9421
31/03/2013,9007
30/03/2013,9793
29/03/2013,10909
28/03/2013,18052
27/03/2013,19184
26/03/2013,18384
25/03/2013,17290
24/03/2013,6786
23/03/2013,5249
22/03/2013,16233
21/03/2013,22061
20/03/2013,22216
19/03/2013,22479
18/03/2013,15852
17/03/2013,7940
16/03/2013,9190
15/03/2013,17159
14/03/2013,21984
13/03/2013,20245
12/03/2013,18794
11/03/2013,16546
10/03/2013,10163
09/03/2013,14244
08/03/2013,13843
07/03/2013,17322
06/03/2013,24324
05/03/2013,27054
04/03/2013,23036
03/03/2013,14520
02/03/2013,15265
01/03/2013,19487
28/02/2013,21985
27/02/2013,21484
26/02/2013,19595
25/02/2013,19800
24/02/2013,9404
23/02/2013,11234
22/02/2013,18313
21/02/2013,19757
20/02/2013,20938
19/02/2013,24525
18/02/2013,22724
17/02/2013,19044
16/02/2013,19072
15/02/2013,22952
14/02/2013,21034
13/02/2013,21051
12/02/2013,20342
11/02/2013,13468
10/02/2013,4901
09/02/2013,11274
08/02/2013,20571
07/02/2013,20852
06/02/2013,20664
05/02/2013,21177
04/02/2013,23017
03/02/2013,13572
02/02/2013,15757
01/02/2013,18081
31/01/2013,21957
30/01/2013,23415
29/01/2013,21268
28/01/2013,18689
27/01/2013,13689
26/01/2013,14595
25/01/2013,20178
24/01/2013,20721
23/01/2013,19404
22/01/2013,18061
21/01/2013,13467
20/01/2013,3728
19/01/2013,7843
18/01/2013,13108
17/01/2013,22210
16/01/2013,22460
15/01/2013,22797
14/01/2013,17427
13/01/2013,12260
12/01/2013,13562
11/01/2013,23869
10/01/2013,24363
09/01/2013,25341
08/01/2013,25909
07/01/2013,23348
06/01/2013,13622
05/01/2013,16242
04/01/2013,22435
03/01/2013,21269
02/01/2013,16203
01/01/2013,12149
31/12/2012,8865
30/12/2012,11343
29/12/2012,8498
28/12/2012,10947
27/12/2012,9013
26/12/2012,10405
25/12/2012,16816
24/12/2012,7985
23/12/2012,9184
22/12/2012,5644
21/12/2012,20395
20/12/2012,12401
19/12/2012,16828
18/12/2012,23651
17/12/2012,22899
16/12/2012,14128
15/12/2012,16962
14/12/2012,17085
13/12/2012,21704
12/12/2012,22344
11/12/2012,23531
10/12/2012,23937
09/12/2012,14147
08/12/2012,17805
07/12/2012,20140
06/12/2012,22645
05/12/2012,23111
04/12/2012,26144
03/12/2012,23592
02/12/2012,15227
01/12/2012,16068
30/11/2012,24838
29/11/2012,26212
28/11/2012,21403
27/11/2012,20388
26/11/2012,20656
25/11/2012,16894
24/11/2012,8902
23/11/2012,27973
22/11/2012,27783
21/11/2012,20554
20/11/2012,25921
19/11/2012,28127
18/11/2012,21664
17/11/2012,20325
16/11/2012,28143
15/11/2012,30165
14/11/2012,31453
13/11/2012,30511
12/11/2012,23680
11/11/2012,20971
10/11/2012,18018
09/11/2012,29349
08/11/2012,29895
07/11/2012,29537
06/11/2012,27038
05/11/2012,27666
04/11/2012,11693
03/11/2012,21498
02/11/2012,28748
01/11/2012,26888
31/10/2012,29241
30/10/2012,30325
29/10/2012,24276
28/10/2012,15305
27/10/2012,17144
26/10/2012,26404
25/10/2012,29515
24/10/2012,33882
23/10/2012,31996
22/10/2012,27294
21/10/2012,15563
20/10/2012,25411
19/10/2012,21001
18/10/2012,32566
17/10/2012,30285
16/10/2012,33253
15/10/2012,30558
14/10/2012,25440
13/10/2012,26289
12/10/2012,31694
11/10/2012,25324
10/10/2012,35221
09/10/2012,32965
08/10/2012,22984
07/10/2012,27168
06/10/2012,30424
05/10/2012,23773
04/10/2012,35136
03/10/2012,32695
02/10/2012,30107
01/10/2012,23627
30/09/2012,25263
29/09/2012,31223
28/09/2012,31880
27/09/2012,32416
26/09/2012,27202
25/09/2012,33706
24/09/2012,21229
23/09/2012,8452
22/09/2012,33867
21/09/2012,32347
20/09/2012,35929
19/09/2012,36136
18/09/2012,37026
17/09/2012,35954
16/09/2012,29785
15/09/2012,36493
14/09/2012,36653
13/09/2012,37938
12/09/2012,35654
11/09/2012,37276
10/09/2012,35489
09/09/2012,39006
08/09/2012,40978
07/09/2012,41414
06/09/2012,39864
05/09/2012,40606
04/09/2012,40298
03/09/2012,39941
02/09/2012,27997
01/09/2012,33123
31/08/2012,37406
30/08/2012,30379
29/08/2012,30916
28/08/2012,37362
27/08/2012,27522
26/08/2012,31939
25/08/2012,17802
24/08/2012,33329
23/08/2012,36578
22/08/2012,39962
21/08/2012,39185
20/08/2012,37997
19/08/2012,35370
18/08/2012,40577
17/08/2012,40821
16/08/2012,38181
15/08/2012,36557
14/08/2012,41532
13/08/2012,36101
12/08/2012,41734
11/08/2012,44111
10/08/2012,47102
09/08/2012,46050
08/08/2012,42263
07/08/2012,38134
06/08/2012,37198
05/08/2012,30150
04/08/2012,39082
03/08/2012,43045
02/08/2012,43183
01/08/2012,41603
31/07/2012,35805
30/07/2012,41891
29/07/2012,26352
28/07/2012,44617
27/07/2012,42815
26/07/2012,46891
25/07/2012,45024
24/07/2012,45748
23/07/2012,42309
22/07/2012,38620
21/07/2012,34776
20/07/2012,31187
19/07/2012,37032
18/07/2012,29841
17/07/2012,36788
16/07/2012,24218
15/07/2012,29938
14/07/2012,17999
13/07/2012,28875
12/07/2012,24736
11/07/2012,30544
10/07/2012,29723
09/07/2012,30523
08/07/2012,15855
07/07/2012,24782
06/07/2012,24723
05/07/2012,40565
04/07/2012,32433
03/07/2012,27163
02/07/2012,24963
01/07/2012,27438
30/06/2012,32982
29/06/2012,35321
28/06/2012,39571
27/06/2012,36767
26/06/2012,37652
25/06/2012,36337
24/06/2012,23509
23/06/2012,26900
22/06/2012,33027
21/06/2012,27052
20/06/2012,39267
19/06/2012,37601
18/06/2012,31089
17/06/2012,28531
16/06/2012,26300
15/06/2012,30944
14/06/2012,31593
13/06/2012,34447
12/06/2012,23742
11/06/2012,10252
10/06/2012,20876
09/06/2012,29258
08/06/2012,22224
07/06/2012,23066
06/06/2012,30297
05/06/2012,15537
04/06/2012,22649
03/06/2012,12207
02/06/2012,25283
01/06/2012,34524
31/05/2012,35630
30/05/2012,38803
29/05/2012,37962
28/05/2012,40872
27/05/2012,38781
26/05/2012,39358
25/05/2012,41357
24/05/2012,42008
23/05/2012,40486
22/05/2012,36720
21/05/2012,30905
20/05/2012,22286
19/05/2012,28474
18/05/2012,30945
17/05/2012,31219
16/05/2012,31453
15/05/2012,18409
14/05/2012,23344
13/05/2012,28778
12/05/2012,30699
11/05/2012,31385
10/05/2012,26164
09/05/2012,21758
08/05/2012,28585
07/05/2012,15227
06/05/2012,17160
05/05/2012,16009
04/05/2012,25503
03/05/2012,23768
02/05/2012,28381
01/05/2012,24523
30/04/2012,31909
29/04/2012,9951
28/04/2012,7827
27/04/2012,24263
26/04/2012,21740
25/04/2012,12737
24/04/2012,27522
23/04/2012,19262
22/04/2012,19707
21/04/2012,22014
20/04/2012,22730
19/04/2012,18759
18/04/2012,16651
17/04/2012,20105
16/04/2012,28188
15/04/2012,10188
14/04/2012,26193
13/04/2012,27673
12/04/2012,25772
11/04/2012,29345
10/04/2012,24898
09/04/2012,6214
08/04/2012,15717
07/04/2012,16848
06/04/2012,22354
05/04/2012,24383
04/04/2012,27912
03/04/2012,25956
02/04/2012,32142
01/04/2012,30513
31/03/2012,23038
30/03/2012,35666
29/03/2012,35954
28/03/2012,36539
27/03/2012,34563
26/03/2012,32368
25/03/2012,28607
24/03/2012,35091
23/03/2012,33635
22/03/2012,31135
21/03/2012,31175
20/03/2012,30817
19/03/2012,28391
18/03/2012,19184
17/03/2012,13391
16/03/2012,26452
15/03/2012,29969
14/03/2012,28296
13/03/2012,27528
12/03/2012,28856
11/03/2012,27758
10/03/2012,24721
09/03/2012,23609
08/03/2012,24123
07/03/2012,17096
06/03/2012,21102
05/03/2012,19342
04/03/2012,5062
03/03/2012,17697
02/03/2012,21928
01/03/2012,25116
29/02/2012,23692
28/02/2012,23423
27/02/2012,20936
26/02/2012,17646
25/02/2012,19349
24/02/2012,22067
23/02/2012,23391
22/02/2012,18112
21/02/2012,20861
20/02/2012,18802
19/02/2012,12655
18/02/2012,9463
17/02/2012,19444
16/02/2012,19505
15/02/2012,19396
14/02/2012,17946
13/02/2012,13172
12/02/2012,8020
11/02/2012,9912
10/02/2012,15117
09/02/2012,16363
08/02/2012,16442
07/02/2012,17722
06/02/2012,15202
05/02/2012,3531
04/02/2012,8348
03/02/2012,16185
02/02/2012,16916
01/02/2012,18208
31/01/2012,18176
30/01/2012,18955
29/01/2012,10949
28/01/2012,13272
27/01/2012,20775
26/01/2012,19515
25/01/2012,20836
24/01/2012,13269
23/01/2012,20193
22/01/2012,12845
21/01/2012,13339
20/01/2012,18703
19/01/2012,15441
18/01/2012,17972
17/01/2012,20170
16/01/2012,19136
15/01/2012,12149
14/01/2012,13843
13/01/2012,19691
12/01/2012,20879
11/01/2012,20958
10/01/2012,20548
09/01/2012,19472
08/01/2012,10487
07/01/2012,12556
06/01/2012,17713
05/01/2012,14191
04/01/2012,13936
03/01/2012,10094
02/01/2012,9091
01/01/2012,5171
31/12/2011,7793
30/12/2011,6900
29/12/2011,8368
28/12/2011,9888
27/12/2011,8076
26/12/2011,10953
25/12/2011,17998
24/12/2011,4890
23/12/2011,9131
22/12/2011,15099
21/12/2011,14158
20/12/2011,15685
19/12/2011,11270
18/12/2011,7485
17/12/2011,8925
16/12/2011,11778
15/12/2011,17081
14/12/2011,17543
13/12/2011,17111
12/12/2011,16554
11/12/2011,8368
10/12/2011,11864
09/12/2011,18421
08/12/2011,17313
07/12/2011,19279
06/12/2011,18943
05/12/2011,18176
04/12/2011,10276
03/12/2011,13776
02/12/2011,19146
01/12/2011,16481
30/11/2011,20956
29/11/2011,18718
28/11/2011,20167
27/11/2011,14362
26/11/2011,15803
25/11/2011,21598
24/11/2011,21870
23/11/2011,21855
22/11/2011,20341
21/11/2011,20824
20/11/2011,14829
19/11/2011,18706
18/11/2011,22461
17/11/2011,22802
16/11/2011,21639
15/11/2011,22245
14/11/2011,19913
13/11/2011,17744
12/11/2011,18933
11/11/2011,21140
10/11/2011,23475
09/11/2011,22542
08/11/2011,19231
07/11/2011,20365
06/11/2011,14317
05/11/2011,16434
04/11/2011,18774
03/11/2011,18676
02/11/2011,23724
01/11/2011,22747
31/10/2011,22999
30/10/2011,15443
29/10/2011,18228
28/10/2011,23158
27/10/2011,19360
26/10/2011,17621
25/10/2011,22771
24/10/2011,22842
23/10/2011,18560
22/10/2011,20482
21/10/2011,23253
20/10/2011,23157
19/10/2011,23259
18/10/2011,23791
17/10/2011,23892
16/10/2011,18530
15/10/2011,23663
14/10/2011,26542
13/10/2011,25149
12/10/2011,26323
11/10/2011,26184
10/10/2011,24198
09/10/2011,17643
08/10/2011,18154
07/10/2011,24529
06/10/2011,25083
05/10/2011,26263
04/10/2011,26131
03/10/2011,27559
02/10/2011,26906
01/10/2011,27129
30/09/2011,29139
29/09/2011,29039
28/09/2011,28434
27/09/2011,24841
26/09/2011,20527
25/09/2011,21211
24/09/2011,22113
23/09/2011,25114
22/09/2011,24601
21/09/2011,22730
20/09/2011,23676
19/09/2011,23708
18/09/2011,17327
17/09/2011,15147
16/09/2011,25567
15/09/2011,25803
14/09/2011,25824
13/09/2011,23962
12/09/2011,21572
11/09/2011,17719
10/09/2011,20069
09/09/2011,23957
08/09/2011,23679
07/09/2011,22746
06/09/2011,13863
05/09/2011,21776
04/09/2011,14967
03/09/2011,24578
02/09/2011,25981
01/09/2011,25110
31/08/2011,23036
30/08/2011,21477
29/08/2011,17443
28/08/2011,15908
27/08/2011,14045
26/08/2011,12368
25/08/2011,20026
24/08/2011,22883
23/08/2011,10953
22/08/2011,25222
21/08/2011,21836
20/08/2011,17334
19/08/2011,25444
18/08/2011,16139
17/08/2011,23010
16/08/2011,24899
15/08/2011,23657
14/08/2011,21115
13/08/2011,20731
12/08/2011,22971
11/08/2011,20573
10/08/2011,24182
09/08/2011,23011
08/08/2011,23489
07/08/2011,14912
06/08/2011,20485
05/08/2011,26792
04/08/2011,15149
03/08/2011,26120
02/08/2011,24290
01/08/2011,22940
31/07/2011,21388
30/07/2011,23930
29/07/2011,25373
28/07/2011,26759
27/07/2011,24989
26/07/2011,25636
25/07/2011,25185
24/07/2011,22464
23/07/2011,20264
22/07/2011,25172
21/07/2011,20951
20/07/2011,21580
19/07/2011,21218
18/07/2011,18541
17/07/2011,10965
16/07/2011,10224
15/07/2011,27114
14/07/2011,26479
13/07/2011,25417
12/07/2011,26633
11/07/2011,26355
10/07/2011,20203
09/07/2011,21360
08/07/2011,19485
07/07/2011,20483
06/07/2011,26207
05/07/2011,24802
04/07/2011,27332
03/07/2011,21423
02/07/2011,22764
01/07/2011,27758
30/06/2011,27297
29/06/2011,28073
28/06/2011,21950
27/06/2011,26243
26/06/2011,23483
25/06/2011,17944
24/06/2011,22137
23/06/2011,24559
22/06/2011,22745
21/06/2011,26780
20/06/2011,20101
19/06/2011,17092
18/06/2011,13721
17/06/2011,15723
16/06/2011,17566
15/06/2011,25643
14/06/2011,28889
13/06/2011,23978
12/06/2011,6061
11/06/2011,21059
10/06/2011,20141
09/06/2011,25061
08/06/2011,23013
07/06/2011,22378
06/06/2011,13812
05/06/2011,8420
04/06/2011,15233
03/06/2011,26641
02/06/2011,26920
01/06/2011,26054
31/05/2011,23312
30/05/2011,16097
29/05/2011,18396
28/05/2011,15693
27/05/2011,22907
26/05/2011,18055
25/05/2011,28708
24/05/2011,27768
23/05/2011,24268
22/05/2011,19348
21/05/2011,24408
20/05/2011,27523
19/05/2011,27534
18/05/2011,23068
17/05/2011,25464
16/05/2011,24620
15/05/2011,19097
14/05/2011,21100
13/05/2011,23991
12/05/2011,23461
11/05/2011,27205
10/05/2011,29417
09/05/2011,27172
08/05/2011,21011
07/05/2011,22274
06/05/2011,28971
05/05/2011,23620
04/05/2011,26183
03/05/2011,23786
02/05/2011,18126
01/05/2011,19489
30/04/2011,21574
29/04/2011,19700
28/04/2011,23794
27/04/2011,24349
26/04/2011,22038
25/04/2011,21669
24/04/2011,21313
23/04/2011,19182
22/04/2011,23719
21/04/2011,26547
20/04/2011,27934
19/04/2011,27914
18/04/2011,24032
17/04/2011,22009
16/04/2011,19632
15/04/2011,22974
14/04/2011,22346
13/04/2011,18909
12/04/2011,23651
11/04/2011,22204
10/04/2011,21346
09/04/2011,22323
08/04/2011,26622
07/04/2011,25451
06/04/2011,25597
05/04/2011,16690
04/04/2011,20949
03/04/2011,17294
02/04/2011,19829
01/04/2011,22048
31/03/2011,20831
30/03/2011,18945
29/03/2011,22080
28/03/2011,21602
27/03/2011,17550
26/03/2011,16095
25/03/2011,24343
24/03/2011,23518
23/03/2011,23837
22/03/2011,21792
21/03/2011,20710
20/03/2011,14694
19/03/2011,17801
18/03/2011,14612
17/03/2011,20036
16/03/2011,19643
15/03/2011,19568
14/03/2011,19451
13/03/2011,10526
12/03/2011,15488
11/03/2011,19074
10/03/2011,18794
09/03/2011,18494
08/03/2011,17240
07/03/2011,16192
06/03/2011,7142
05/03/2011,9847
04/03/2011,16971
03/03/2011,16576
02/03/2011,16929
01/03/2011,15774
28/02/2011,13843
27/02/2011,8349
26/02/2011,7749
25/02/2011,18634
24/02/2011,19230
23/02/2011,12936
22/02/2011,15948
21/02/2011,13720
20/02/2011,7882
19/02/2011,6250
18/02/2011,17460
17/02/2011,18938
16/02/2011,18989
15/02/2011,15667
14/02/2011,17836
13/02/2011,7034
12/02/2011,12855
11/02/2011,16070
10/02/2011,11496
09/02/2011,18197
08/02/2011,19829
07/02/2011,16537
06/02/2011,9437
05/02/2011,8442
04/02/2011,14938
03/02/2011,15593
02/02/2011,18102
01/02/2011,16331
31/01/2011,16260
30/01/2011,9455
29/01/2011,9379
28/01/2011,15538
27/01/2011,16519
26/01/2011,16396
25/01/2011,17045
24/01/2011,17193
23/01/2011,9911
22/01/2011,10658
21/01/2011,16509
20/01/2011,17957
19/01/2011,18350
18/01/2011,17703
17/01/2011,10835
16/01/2011,10471
15/01/2011,11851
14/01/2011,14834
13/01/2011,15911
12/01/2011,13894
11/01/2011,16412
10/01/2011,16058
09/01/2011,10558
08/01/2011,9338
07/01/2011,9294
06/01/2011,9595
05/01/2011,13757
04/01/2011,13430
03/01/2011,7262
02/01/2011,6250
01/01/2011,4555
31/12/2010,7448
30/12/2010,7464
29/12/2010,7010
28/12/2010,3763
27/12/2010,3971
26/12/2010,4383
25/12/2010,5621
24/12/2010,5402
23/12/2010,8867
22/12/2010,9718
21/12/2010,7879
20/12/2010,6876
19/12/2010,2764
18/12/2010,2805
17/12/2010,10366
16/12/2010,10833
15/12/2010,13412
14/12/2010,15550
13/12/2010,14997
12/12/2010,8585
11/12/2010,10328
10/12/2010,15602
09/12/2010,16171
08/12/2010,15225
07/12/2010,15033
06/12/2010,13855
05/12/2010,8321
04/12/2010,7857
03/12/2010,8264
02/12/2010,7356
01/12/2010,9848
30/11/2010,9263
29/11/2010,16681
28/11/2010,6866
27/11/2010,7867
26/11/2010,16092
25/11/2010,16822
24/11/2010,18628
23/11/2010,17427
22/11/2010,17258
21/11/2010,8356
20/11/2010,10806
19/11/2010,18545
18/11/2010,15974
17/11/2010,17005
16/11/2010,18764
15/11/2010,18086
14/11/2010,6235
13/11/2010,12123
12/11/2010,14534
11/11/2010,12901
10/11/2010,19767
09/11/2010,16026
08/11/2010,11328
07/11/2010,9331
06/11/2010,11877
05/11/2010,15815
04/11/2010,22424
03/11/2010,27964
02/11/2010,21754
01/11/2010,19785
31/10/2010,8739
30/10/2010,13493
29/10/2010,19119
28/10/2010,19995
27/10/2010,19559
26/10/2010,13950
25/10/2010,18430
24/10/2010,11259
23/10/2010,11584
22/10/2010,20164
21/10/2010,21161
20/10/2010,20750
19/10/2010,17964
18/10/2010,20464
17/10/2010,12764
16/10/2010,12735
15/10/2010,20934
14/10/2010,21582
13/10/2010,22251
12/10/2010,23016
11/10/2010,21986
10/10/2010,14871
09/10/2010,14463
08/10/2010,22886
07/10/2010,24072
06/10/2010,20114
05/10/2010,22054
04/10/2010,23688
03/10/2010,8237
02/10/2010,10704
01/10/2010,11424
30/09/2010,21823
29/09/2010,13899
28/09/2010,21554
27/09/2010,18789
26/09/2010,7890
25/09/2010,14010
24/09/2010,18053
23/09/2010,17729
22/09/2010,23905
21/09/2010,22906
20/09/2010,20169
19/09/2010,11492
18/09/2010,15495
17/09/2010,20488
16/09/2010,20433
15/09/2010,20890
14/09/2010,17026
13/09/2010,18037
12/09/2010,14002
11/09/2010,13383
10/09/2010,19532
09/09/2010,20774
08/09/2010,18727
07/09/2010,25361
06/09/2010,16841
05/09/2010,12924
04/09/2010,14373
03/09/2010,20113
02/09/2010,20909
01/09/2010,19332
31/08/2010,17508
30/08/2010,10534
29/08/2010,7811
28/08/2010,10116
27/08/2010,12854
26/08/2010,9875
25/08/2010,10062
24/08/2010,17006
23/08/2010,12935
22/08/2010,10129
21/08/2010,11719
20/08/2010,16462
19/08/2010,17170
18/08/2010,16062
17/08/2010,15396
16/08/2010,15384
15/08/2010,10928
14/08/2010,9195
13/08/2010,12151
12/08/2010,13080
11/08/2010,14013
10/08/2010,4802
09/08/2010,6191
08/08/2010,7864
07/08/2010,6631
06/08/2010,9797
05/08/2010,8724
04/08/2010,7893
03/08/2010,7966
02/08/2010,6642
01/08/2010,4303
31/07/2010,5564
30/07/2010,6897
